indicator,entity,category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Фосфаты (P),Свирь,Озера,,0.0196,0.005,0.005,0.006,0.0052,0.0063,0.011,0.013,0.008,0.005,,0.005,,0.005,,0.016,,0.011,
Фосфаты (P),Селява,Озера,,,,0.0125,0.0127,0.0105,0.0115,0.012,0.006,0.007,0.014,,0.0334,,0.016,,0.023,,0.029,
Фосфаты (P),Снуды,Озера,,0.0237,0.0115,0.0049,0.0106,0.0047,0.0051,0.008,0.006,0.011,0.006,0.009,,0.0035,,0.003,,0.003,,0.003
Фосфаты (P),Струсто,Озера,,0.0285,0.0041,0.0056,0.0141,0.0049,0.0052,0.007,0.004,0.009,,0.009,,0.004,,0.004,,0.004,,0.003
Фосфаты (P),Червоное,Озера,0.0277,0.014,0.02,0.0062,0.0065,0.0057,0.0065,0.085,0.064,0.08,0.038,,0.048,,0.066,,0.06,,0.053,
Фосфаты (P),Черное,Озера,,,0.0313,0.016,0.013,0.0177,0.0375,0.003,0.007,0.021,0.019,0.036,0.019,0.0105,0.014,0.026,0.012,0.017,0.047,0.036
Нитраты (NO3),Выгонощанское,Озера,15.11,13.77,16.12,1.05,1.31,1.26,0.81,2.83,2.67,2.84,0.24,,1.02,,1.04,,1.4,,0.375,
Нитраты (NO3),Дривяты,Озера,,1.64,1.31,0.75,0.62,0.71,1.0,1.11,1.06,0.96,0.93,,0.53,,0.46,,0.45,,0.186,
Нитраты (NO3),Езерище,Озера,,,,,,0.11,0.13,1.29,0.95,0.42,0.4,,0.52,,0.64,,0.9,,0.234,
Нитраты (NO3),Лепельское,Озера,0.36,0.74,0.24,0.25,0.22,0.21,0.2,4.21,5.36,1.89,,1.73,,2.5,,0.86,,1.85,0.269,0.589
Нитраты (NO3),Лосвидо,Озера,,,,,,0.18,0.19,1.84,0.71,0.59,0.58,,0.62,,0.5,,1.26,,0.246,
Нитраты (NO3),Лукомское,Озера,0.1,0.15,0.17,0.2,0.06,0.14,0.15,1.11,0.92,0.57,,0.31,,0.65,,0.04,,0.72,,0.109
Нитраты (NO3),Мядель,Озера,1.33,0.83,0.65,0.71,0.6,2.25,1.33,1.11,1.51,3.07,,0.74,,0.59,,0.17,,0.18,,0.178
Нитраты (NO3),Мястро,Озера,0.92,0.53,0.15,0.4,0.36,0.72,0.78,1.05,1.17,0.32,0.36,,0.55,,0.39,,0.3,,0.048,
Нитраты (NO3),Нарочь,Озера,1.26,0.49,0.38,0.36,0.5,2.91,0.64,1.14,0.47,0.59,0.31,0.22,,0.33,,0.08,,0.11,,0.134
Нитраты (NO3),Нещердо,Озера,1.03,0.62,0.35,0.42,0.13,0.17,0.49,1.11,0.78,0.77,,0.33,,0.58,,0.14,,1.01,0.096,0.074
Нитраты (NO3),Освейское,Озера,,,,,,0.28,0.5,1.28,1.25,0.94,0.31,,0.18,,0.67,,0.8,,0.094,
Нитраты (NO3),Ричи,Озера,,2.94,0.46,0.3,0.52,0.21,0.51,1.11,0.44,0.78,0.93,,0.27,,0.5,,0.33,,0.078,
Нитраты (NO3),Свирь,Озера,0.66,0.55,0.88,0.75,0.74,4.36,1.36,3.08,1.11,0.78,0.62,,1.65,,0.63,,0.68,,0.21,
Нитраты (NO3),Селява,Озера,,,,0.22,0.12,0.1,0.16,1.41,1.66,1.32,1.2,,1.37,,0.99,,1.04,,0.669,
Нитраты (NO3),Снуды,Озера,,1.04,0.26,0.22,0.47,0.2,0.3,1.37,1.95,0.31,0.93,0.16,,0.25,,0.04,,0.19,,0.048
Нитраты (NO3),Струсто,Озера,,2.52,0.38,0.41,0.37,0.54,0.63,1.11,1.02,0.32,,0.17,,0.39,,0.05,,0.28,,0.072
Нитраты (NO3),Червоное,Озера,1.38,0.45,0.69,0.43,0.91,0.46,0.46,1.38,1.44,1.7,1.46,,2.66,,2.63,,2.29,,2.8,
Нитраты (NO3),Черное,Озера,,,0.32,0.19,0.13,0.14,0.09,1.11,0.61,1.02,0.67,1.01,0.92,2.37,0.92,0.07,0.81,1.88,0.096,0.228
Нитраты (NO3),Западный Буг,Подземные воды,,,,,,,,,,,22.5,5.15,,15.498333333333333,1.5,31.873333333333335,8.5,11.924999999999999,87.83333333333333,7.3
Нитраты (NO3),Западная Двина,Подземные воды,,,,,,,,,,,4.3428571428571425,4.839583333333334,0.39999999999999997,1.1166666666666667,0.5,0.25,12.825,0.3,0.26666666666666666,19.856666666666666
Нитраты (NO3),Неман,Подземные воды,,,,,,,,,,,4.938888888888889,3.1983050847457624,,0.6545454545454545,0.8233333333333334,8.459999999999999,2.15,0.15714285714285717,0.44999999999999996,1.3583333333333334
Нитраты (NO3),Припять,Подземные воды,,,,,,,,,,,9.7,4.436842105263158,3.595652173913044,8.629999999999999,,0.3333333333333333,18.925,6.24,0.15,15.757142857142856
