m,n,T_seq,T_pipeline,S,E
20,2,40.0,21.0,1.9047619047619047,0.9523809523809523
20,3,60.0,22.0,2.727272727272727,0.9090909090909091
20,4,80.0,23.0,3.4782608695652173,0.8695652173913043
20,5,100.0,24.0,4.166666666666667,0.8333333333333334
20,6,120.0,25.0,4.8,0.8
20,8,160.0,27.0,5.925925925925926,0.7407407407407407
20,10,200.0,29.0,6.896551724137931,0.6896551724137931
20,12,240.0,31.0,7.741935483870968,0.6451612903225806
20,15,300.0,34.0,8.823529411764707,0.5882352941176471
20,20,400.0,39.0,10.256410256410257,0.5128205128205128
20,25,500.0,44.0,11.363636363636363,0.45454545454545453
20,30,600.0,49.0,12.244897959183673,0.40816326530612246
