indicator,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Удельный вес домашних хозяйств, проживающих в квартирах (домах), оборудованных водопроводом",78.4,78.9,81.3,81.6,84.4,86.8,86.4,86.3,88.6,89.9,90.5,92.6,93.7,94.7,95.5,96.1,96.6,97.0,97.4,98.0,98.0
"Удельный вес домашних хозяйств, проживающих в квартирах (домах), оборудованных канализацией",75.6,76.3,79.0,79.2,82.4,84.7,84.4,83.7,86.6,87.8,88.5,91.1,91.9,93.4,93.9,94.8,95.6,96.1,96.8,97.3,97.4
