indicator,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Вода, поставляемая населению отраслью водоснабжения",,,,557.7073,575.1976,568.1626,558.3511,540.2789,521.8094,481.1424,408.7558,352.0717,352.1118,307.635,335.588,340.496,346.182,348.5296,339.0808,332.7609,328.9554,331.6106,339.02019,338.8204,330.8427,334.77143,333.83486
"Население, имеющее доступ к водоснабжению (оценка)",,,7.756269729300001,7.6990364901,7.979408478900002,7.9801460540999996,8.0093690523,8.074416022200001,8.291941365600001,8.3273965497,8.366764799700002,8.3054907234,8.270289145499998,8.2673898724,8.476742418299999,8.5936410425,8.631741893500001,8.8179636118,8.9161150124,8.9975088568,9.0470740543,9.0483779388,9.04208646,8.958040997,8.945851655000002,8.935963433,8.94323768
"Использование воды на душу населения, имеющего доступ к водоснабжению (оценка)",,,,72.43858380423862,72.0852431005379,71.19701771724996,69.71224529098978,66.91244277165602,62.929702103874206,57.77825003630138,48.85470188126435,42.39023457194028,42.57551263387084,37.21065593229298,39.58926477174964,39.62185508052654,40.105694108009295,39.52495330482035,38.03010610881832,36.98367017983106,36.36041863099929,36.64862390175297,37.49357977273754,37.82304636844921,36.9828064178871,37.46338405590475,37.32818828538615
"Население, не имеющее доступ к водоснабжению (самообеспечение) (оценка)",,,2.200414270699998,2.2013775098999995,1.8512725210999985,1.7826709459000005,1.6881059477000004,1.5559379777999993,1.287551634399998,1.215015450300001,1.1467922002999984,1.1901172766000006,1.2017748545000018,1.1838311275999995,0.9657075817000003,0.8503309575000007,0.8213161064999994,0.6511293882000011,0.5535499876000003,0.4508031431999999,0.38218294570000033,0.3618810612000001,0.3075585400000005,0.29748300299999997,0.25476534499999737,0.22001456699999977,0.16604232000000074
"Использование воды на душу населения, самостоятельно обеспечивающего себя водой (оценка)",,,,72.43858380423862,72.08524310053791,71.19701771724995,69.71224529098977,66.91244277165602,62.929702103874206,57.77825003630138,48.854701881264354,42.39023457194029,42.57551263387084,37.21065593229298,39.58926477174964,39.62185508052653,40.1056941080093,39.52495330482036,38.030106108818316,36.98367017983106,36.3604131043506,36.64862390175297,37.49357534897979,37.82304636844921,36.9828064178871,37.46338405590475,37.32818828538615
Потребление воды населением за счет самообеспечения,,,,159.46466923565725,133.44942972883908,126.92085491926906,117.68165590324118,104.11161089578864,81.02524079614822,70.20146648540278,56.02619106541562,50.44935052319277,51.166180500833114,44.05113277106201,38.23165314400736,33.69168996855039,32.93945253327017,25.73585866400129,21.051564764963075,16.672354764139946,13.896329787089606,13.262442909086053,11.531469293712233,11.251713416294514,9.421937436121123,8.242490221414577,6.1980589843023655
Общее потребление воды населением (оценка),,,,717.1719692356573,708.647029728839,695.0834549192691,676.0327559032412,644.3905108957887,602.8346407961482,551.3438664854028,464.78199106541564,402.5210505231928,403.2779805008331,351.686132771062,373.81965314400736,374.1876899685504,379.1214525332702,374.2654586640013,360.1323647649631,349.4332547641399,342.8517297870896,344.87304290908605,350.55165929371225,350.07211341629454,340.2646374361211,343.0139202214146,340.03291898430234
Среднегодовая численность населения,10.189348,10.193831,9.97961,9.928549,9.865548,9.796749,9.730146,9.663915,9.604924,9.560953,9.527985,9.504583,9.483836,9.461643,9.446836,9.443211,9.448515,9.461076,9.469379,9.458989,9.438785,9.419758,9.379952,9.302585,9.228071,9.178298,9.132629
Общий объем бытового водопотребления (за счет отрасли водоснабжения и самообеспечения) в расчете на душу населения (оценка),,,,72.23331115510004,71.83047811726617,70.9504198708438,69.47817184893641,66.68006816034585,62.763082851686086,57.66620403692005,48.78072237366197,42.35020626609214,42.5226649322946,37.169668393857386,39.57088417159009,39.6250480867737,40.12497757936249,39.55844543094266,38.0312547174385,36.94192421242269,36.32371431143835,36.611666977971836,37.372436372138395,37.63170273814155,36.87278060995858,37.37227972129632,37.23275291094189
