indicator,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Осадки,151963.0,127300.0,136200.0,139700.0,115200.0,128100.0,145900.0,134700.0,133900.0,131800.0,143000.0,168400.0,151100.0,121000.0,157100.0,139300.0,117700.0,112100.0,154000.0,158800.0,120600.0,119200.0,122300.0,149100.0,150300.0,150500.0
Фактическое суммарное испарение,91344.0,92400.0,100500.0,107000.0,87200.0,100900.0,107600.0,92200.0,100200.0,100400.0,107500.0,123900.0,121300.0,85500.0,119100.0,94600.0,92800.0,94000.0,128200.0,121400.0,87100.0,96500.0,99100.0,118800.0,117800.0,106000.0
Внутренний приток,60619.0,34900.0,35700.0,32700.0,28000.0,27200.0,38300.0,42500.0,33700.0,31400.0,35500.0,44500.0,29800.0,35500.0,38000.0,44700.0,24900.0,18100.0,25800.0,37400.0,33500.0,22700.0,23200.0,30300.0,32500.0,44500.0
Приток поверхностных и подземных вод из сопредельных стран*,30200.0,18700.0,23700.0,24499.999999999996,19500.0,16500.0,21800.0,22700.0,26800.0,22300.0,23400.0,23100.0,41300.0,22800.0,24400.0,29200.0,16000.0,11700.0,16600.0,23000.0,21500.0,14600.0,14900.0,19500.0,20900.0,28700.0
Возобновляемые ресурсы пресных вод *,90819.0,53600.0,59400.0,57200.0,47500.0,43700.0,60100.0,65200.0,60500.0,53700.0,58900.0,67600.0,71100.0,58300.0,62400.0,73900.0,40900.0,29800.0,42400.0,60400.0,55000.0,37300.0,38100.0,49800.0,53400.0,73200.0
