,"Временные ряды данных по показателям за 2005-2024, Таблица C-16. Загрязненные (неочищенные) сточные воды: Беларусь",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,на 18.07.2025,,,,,
,,Единица,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,Сброс сточных вод в поверхностные водные объекты по степени очистки,,,,,,,,,,,,,,,,,,,,,
1,Сброс сточных вод в поверхностные водные объекты,млн. м3/год,"1,146","1,082","1,038",990,997,990,"1,000","1,015",974,954,870,"1,048","1,053","1,034","1,019","1,038","1,134","1,119","1,130","1,136"
,"в том числе:
без превышения нормативов допустимых сбросов химических и иных веществ",,,,,,,,,,,,,,,,,,,,,
2,Без очистки на очистных сооружениях,млн. м3/год,290,256,269,270,309,314,332,345,317,316,246,339,354,341,326,341,386,380,363,375
3,После очистки на очистных сооружениях,млн. м3/год,846,816,760,709,684,671,662,666,654,635,618,703,694,689,689,694,745,737,766,758
4,Сброс сточных вод без превышения нормативов допустимых сбросов химических и иных веществ - всего,млн. м3/год,"1,136","1,072","1,029",979,993,985,994,"1,011",971,951,864,"1,042","1,048","1,030","1,015","1,035","1,132","1,117","1,129","1,133"
,с превышением нормативов допустимых сбросов химических и иных веществ,,,,,,,,,,,,,,,,,,,,,
5,Без очистки на очистных сооружениях*,млн. м3/год,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,0.3,0.3,0.5
6,После очистки на очистных сооружениях*,млн. м3/год,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,2.5,1.3,2.6
7,Сброс сточных вод с превышением нормативов допустимых сбросов химических и иных веществ - всего,млн. м3/год,10,9,9,11,3,5,6,3,3,3,6,6,4,4,4,3,2,2.8,1.5,3.1
8,Доля сточных вод с превышением нормативов допустимых сбросов химических и иных веществ  в общем объеме стоков,%,0.9,0.8,0.9,1.1,0.3,0.5,0.6,0.3,0.3,0.3,0.7,0.6,0.4,0.4,0.4,0.3,0.2,0.3,0.1,0.3
,,,,,,,,,,,,,,,,,,,,,,
,Примечание:,,,,,,,,,,,,,,,,,,,,,
,"""…"" - данные отсутствуют.",,,,,,,,,,,,,,,,,,,,,
,"*Начиная с данных за 2022 год ведется учет сброса сточных вод с превышением нормативов допустимых сбросов химических и иных веществ, как после очистки на очистных сооружениях, так и без нее.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Справочно:,,,,,,,,,,,,,,,,,,,,,
,По данным Министерства природных ресурсов и охраны окружающей среды Республики Беларусь.  Начиная с 2016 года данные приводятся с учетом сброса поверхностных сточных вод.,,,,,,,,,,,,,,,,,,,,,
