indicator,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Добыча (изъятие) вод из природных источников,2883.0,2112.0,1882.413,1885.473,1866.9959999999999,1834.909,1790.9393,1773.1590999999999,1730.1522,1698.0963000000002,1637.8567,1572.4971,1598.1366,1638.1360300000001,1641.63098,1570.62268,1570.66208,1447.50747,1450.78,1397.471,1390.229,1357.991,1328.552,1425.109,1414.085,1435.352,1460.338
Опресненные воды,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Импорт вод,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Экспорт вод,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Общий доступный объем пресных вод,2883.0,2112.0,1882.413,1885.473,1866.9959999999999,1834.909,1790.9393,1773.1590999999999,1730.1522,1698.0963000000002,1637.8567,1572.4971,1598.1366,1638.1360300000001,1641.63098,1570.62268,1570.66208,1447.50747,1450.78,1397.471,1390.229,1357.991,1328.552,1425.109,1414.085,1435.352,1460.338
Потери вод при транспортировке,83.0,91.0,117.0,113.0,117.0,116.0,107.13,100.65,107.8,109.8,130.82,83.92,101.71,84.09,84.41,82.68,81.82,78.11,67.633,57.864,57.574,41.518,44.752,43.824,45.59,45.325,46.505
"Прочие потери, неучтенные расходы и воды не для использования",10.0,143.0,65.41300000000001,67.47299999999996,57.99599999999987,51.909000000000106,37.80930000000001,72.15909999999994,76.12219999999998,103.72630000000022,97.33670000000001,151.12709999999998,137.01659999999998,147.75603000000015,114.75097999999988,114.81268000000004,118.09208000000007,99.87747000000003,81.537,75.38500000000002,85.801,108.046,88.486,107.88999999999994,105.09000000000006,117.66800000000016,130.30799999999988
Общий объем использованных пресных вод,2790.0,1878.0,1700.0,1705.0,1692.0,1667.0,1646.0,1600.35,1546.23,1484.57,1409.7,1337.45,1359.41,1406.29,1442.47,1373.1299999999999,1370.75,1269.52,1301.61,1264.222,1246.854,1208.427,1195.3139999999999,1273.395,1263.405,1272.359,1283.525
Домашние хозяйства,,,,557.7073,575.1976,568.1626,558.3511,540.2789,521.8094,481.1424,408.7558,352.0717,352.1118,307.635,335.588,340.496,346.182,348.5296,339.0808,332.7609,328.9554,331.610587,339.0202,338.8204,330.8427,334.7714,333.83486
"Сельское, лесное и рыбное хозяйство (ОКЭД 01-03)",,603.0,388.82499999999993,387.019,397.9769999999998,426.154,410.4860000000002,409.28730000000013,445.98,424.44,434.3,482.72,496.18,524.87,550.0,518.0,518.0,434.17,480.16,443.888,423.781,378.128,367.02,395.231,388.639,359.516,379.639
11-а из которого на цели сельскохозяйственной ирригации,67.0,15.0,5.3,5.8,5.4,11.7,7.9,6.3,16.6,5.7,4.7,5.7,7.0,4.0,5.9,5.0,3.2,4.1,,,,,,,,,
Обрабатывающая промышленность (ОКЭД 10-33),,574.0,529.392,523.42,499.697,455.94,468.5887,441.4732,248.82,238.65,236.71,221.14,234.11,238.09,229.0,222.0,229.0,215.3,175.37,179.592,186.971,181.917,177.136,187.881,179.956,191.03,193.111
Предприятия электроэнергетики (ОКЭД 351),,,,,,,,,70.79,79.67,70.52,53.91,74.91,103.83,106.89,90.0,86.12,85.67,64.2,64.178,66.4,71.465,89.052,93.861,100.516,114.467,125.715
Другие виды экономической деятельности,,,,236.8537,219.12840000000017,216.7433999999999,208.5741999999999,209.31059999999968,258.8305999999999,260.66759999999994,259.41419999999994,227.60830000000007,202.09820000000005,231.86499999999995,220.99200000000008,202.63400000000001,191.44799999999998,185.85039999999987,242.79919999999993,243.80309999999997,240.74659999999997,245.30641299999994,223.08579999999995,257.60159999999996,263.4513,272.5745999999998,251.22514000000015
Общее водопотребление на единицу ВВП,22.168348170062785,22.85381334425972,15.23344745579789,14.588882373006165,13.782293891330928,12.685210969659677,11.238616545914224,9.988049106040513,8.772979723633124,7.756108198164976,6.6832589070369535,6.328072415933994,5.969349374229036,5.850504161702318,5.9002540116228035,5.561087240294563,5.4612759201583465,5.259371591246706,5.53207916463985,5.240474925194471,5.010684437132136,4.787017250117772,4.767142520554326,4.9576347162583945,5.1590711917809555,4.989731284234451,4.8394650742115966
